,Town,Jul22,Jul23,Percent Change
0,ABINGTON,82,79,-3.7%
1,ACTON,134,80,-40.3%
2,ACUSHNET,41,40,-2.4%
3,ADAMS,48,46,-4.2%
4,AGAWAM,133,124,-6.8%
5,ALFORD,6,2,-66.7%
6,ALLSTON,9,5,-44.4%
7,AMESBURY,75,58,-22.7%
8,AMHERST,95,71,-25.3%
9,ANDOVER,192,126,-34.4%
10,AQUINNAH,2,2,0.0%
11,ARLINGTON,180,117,-35.0%
12,ASHBURNHAM,58,46,-20.7%
13,ASHBY,27,16,-40.7%
14,ASHFIELD,5,7,40.0%
15,ASHLAND,102,50,-51.0%
16,ATHOL,79,82,3.8%
17,ATTLEBORO,234,151,-35.5%
18,AUBURN,113,104,-8.0%
19,AVON,42,29,-31.0%
20,BARNSTABLE,53,27,-49.1%
21,BARRE,37,18,-51.4%
22,BECKET,23,24,4.3%
23,BEDFORD,79,68,-13.9%
24,BELCHERTOWN,96,66,-31.3%
25,BELLINGHAM,113,91,-19.5%
26,BELMONT,91,73,-19.8%
27,BERKLEY,44,28,-36.4%
28,BERLIN,21,17,-19.0%
29,BERNARDSTON,5,8,60.0%
30,BEVERLY,180,120,-33.3%
31,BILLERICA,230,143,-37.8%
32,BLACKSTONE,39,29,-25.6%
33,BLANDFORD,7,7,0.0%
34,BOLTON,53,33,-37.7%
35,BOSTON,35,21,-40.0%
36,BOURNE,146,110,-24.7%
37,BOXBORO,24,23,-4.2%
38,BOXFORD,65,45,-30.8%
39,BOYLSTON,34,16,-52.9%
40,BRAINTREE,177,133,-24.9%
41,BREWSTER,72,72,0.0%
42,BRIDGEWATER,95,89,-6.3%
43,BRIGHTON,21,22,4.8%
44,BRIMFIELD,29,26,-10.3%
45,BROCKTON,473,327,-30.9%
46,BROOKFIELD,16,19,18.8%
47,BROOKLINE,86,67,-22.1%
48,BUCKLAND,12,6,-50.0%
49,BURLINGTON,114,105,-7.9%
50,CAMBRIDGE,63,53,-15.9%
51,CANTON,107,89,-16.8%
52,CARLISLE,26,28,7.7%
53,CARVER,68,46,-32.4%
54,CENTERVILLE,116,74,-36.2%
55,CHARLEMONT,1,4,300.0%
56,CHARLESTOWN,42,32,-23.8%
57,CHARLTON,71,60,-15.5%
58,CHATHAM,90,59,-34.4%
59,CHELMSFORD,174,111,-36.2%
60,CHELSEA,25,14,-44.0%
61,CHESHIRE,23,9,-60.9%
